,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
369,19,0.298,Taylor Swift,0.664,170640,0.316,8,2.03E-06,5,0.0812,-10.345,1,20,0.519,17291991,92.875,4,43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,0.541
370,20,0.152,J Balvin,0.754,242573,0.646,8,1.85E-05,7,0.108,-5.795,1,21,0.317,15922336,176.089,4,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,0.429
371,21,0.11,Lizzo,0.715,173325,0.624,8,0,4,0.123,-3.046,0,22,0.114,14986842,158.087,4,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,0.412
372,22,0.145,Jhay Cortez,0.806,309120,0.786,8,0,10,0.0935,-3.831,0,23,0.0741,14668464,91.973,4,4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,0.58
373,23,0.0711,Sech,0.725,287773,0.79,8,1.14E-06,0,0.0602,-2.331,1,24,0.197,14634239,175.988,4,4bTZeO72FwMa6wKOiqoynL,Otro Trago - Remix,0.763
374,24,0.556,Post Malone,0.76,158040,0.479,8,0,2,0.0703,-5.574,1,25,0.0466,14435499,89.911,4,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,0.913
375,25,0.0129,Taylor Swift,0.811,222400,0.719,8,1.36E-05,9,0.0742,-6.553,1,26,0.0497,14308256,103.979,4,4y5bvROuBDPr5fuwXbIBZR,Paper Rings,0.865
376,26,0.101,Drake,0.831,205427,0.502,8,0,10,0.122,-4.045,0,27,0.046,14157195,100.541,4,5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),0.101
377,27,0.123,Chris Brown,0.698,260640,0.454,8,0,1,0.155,-6.756,0,28,0.151,13882954,92.932,4,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),0.137
378,28,0.462,ROSALÍA,0.78,201040,0.759,8,0.000868,1,0.143,-3.292,1,29,0.225,13849632,91.952,4,7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",0.579
379,29,0.028,Taylor Swift,0.662,234147,0.747,8,0.00615,11,0.138,-6.926,0,30,0.0736,13680788,150.088,4,214nt20w5wOxJnY462klLw,Miss Americana & The Heartbreak Prince,0.487
