Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
5,219,19,0.11,0.715,173325,0.624,0,4,0.123,-3.046,0,0.114,4,0.412,158.087
5,220,20,0.371,0.572,215733,0.385,0,7,0.231,-6.362,1,0.0308,4,0.323,95.799
5,221,21,0.179,0.661,163805,0.723,0.000012,5,0.14,-6.976,0,0.0566,4,0.316,113.778
5,222,22,0.296,0.674,178480,0.881,0.000003,9,0.0793,-2.853,1,0.147,4,0.234,98.994
5,223,23,0.489,0.505,157493,0.428,0,5,0.0977,-5.604,1,0.221,4,0.618,175.813
5,224,24,0.25,0.855,263899,0.649,0,8,0.0801,-2.443,1,0.151,4,0.741,161.986
5,225,25,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
5,226,26,0.0608,0.876,163320,0.662,0,2,0.127,-6.482,0,0.426,4,0.844,75.445
5,227,27,0.0404,0.677,152913,0.744,0.00016,10,0.074,-6.806,0,0.0295,4,0.631,124.08
5,228,28,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,4,0.196,120.046
5,229,29,0.753,0.688,360960,0.62,0.000005,11,0.158,-8.029,0,0.22,4,0.727,170.018
5,230,30,0.0623,0.791,156347,0.565,0,5,0.156,-3.933,0,0.0439,4,0.181,99.961
5,231,31,0.0691,0.719,187436,0.704,0,1,0.166,-4.724,1,0.0476,4,0.628,133.002
5,232,32,0.0188,0.611,231999,0.622,0,9,0.359,-5.075,0,0.0734,4,0.538,146.11
5,233,33,0.191,0.687,214290,0.792,0,5,0.167,-2.749,1,0.0452,4,0.671,100.015
5,234,34,0.323,0.826,238200,0.773,0,11,0.143,-4.218,0,0.0524,4,0.761,126.899
5,235,35,0.978,0.367,196077,0.111,0.00004,4,0.0897,-14.084,1,0.0972,4,0.198,82.642
5,236,36,0.391,0.857,267500,0.647,0.000001,11,0.0842,-4.152,0,0.0984,4,0.553,95.982
5,237,37,0.241,0.673,201818,0.752,0.000045,2,0.0813,-3.572,0,0.0561,4,0.797,175.997
5,238,38,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
5,239,39,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
5,240,40,0.0923,0.645,229773,0.862,0,11,0.192,-4.757,0,0.0965,4,0.798,119.991
5,241,41,0.252,0.837,184436,0.791,0.000001,4,0.188,-3.157,0,0.0773,4,0.618,91.98
5,242,42,0.39,0.882,161627,0.689,0.00325,6,0.0501,-4.027,1,0.124,4,0.746,97.963
5,243,43,0.381,0.591,215316,0.705,0.000116,9,0.131,-6.519,0,0.079,4,0.27,121.799
5,244,44,0.234,0.918,236000,0.837,0,1,0.227,-6.792,1,0.255,4,0.855,120.017
5,245,45,0.121,0.861,166640,0.621,0,1,0.0689,-7.106,1,0.362,4,0.254,83.976
5,246,46,0.0828,0.844,169038,0.644,0,11,0.113,-6.273,0,0.0479,4,0.591,122.061
5,247,47,0.0575,0.302,242956,0.414,0,2,0.0861,-8.16,1,0.0319,4,0.105,110.508
5,248,48,0.137,0.694,245387,0.759,0,10,0.167,-5.667,0,0.398,4,0.77,140.055
5,249,49,0.934,0.351,200186,0.296,0,4,0.095,-10.109,0,0.0333,4,0.12,115.284
5,250,50,0.0737,0.682,183027,0.656,0,6,0.353,-4.67,1,0.0435,4,0.607,130.089
6,251,1,0.037,0.759,190960,0.54,0,9,0.0945,-6.039,0,0.0287,4,0.75,116.947
